,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
227,Andreas Moe,0.652,0.273,2,-8.605,1,0.0298,0.871,2.04e-06,0.104,0.363,112.946,audio_features,2Lkw20R7rXOajb4q1CJCFY,spotify:track:2Lkw20R7rXOajb4q1CJCFY,https://api.spotify.com/v1/tracks/2Lkw20R7rXOajb4q1CJCFY,https://api.spotify.com/v1/audio-analysis/2Lkw20R7rXOajb4q1CJCFY,157416,4
228,Oddnesse,0.518,0.813,4,-6.283,1,0.0318,0.486,0.755,0.168,0.601,116.009,audio_features,07w28JF0iYZsJREgD3906I,spotify:track:07w28JF0iYZsJREgD3906I,https://api.spotify.com/v1/tracks/07w28JF0iYZsJREgD3906I,https://api.spotify.com/v1/audio-analysis/07w28JF0iYZsJREgD3906I,164045,4
229,NEEDTOBREATHE,0.526,0.803,11,-3.989,1,0.127,0.135,0.0,0.119,0.564,157.887,audio_features,62M9yafZsSRzlsphzeJPGo,spotify:track:62M9yafZsSRzlsphzeJPGo,https://api.spotify.com/v1/tracks/62M9yafZsSRzlsphzeJPGo,https://api.spotify.com/v1/audio-analysis/62M9yafZsSRzlsphzeJPGo,208205,4
230,2Pac,0.916,0.844,7,-3.967,1,0.236,0.0394,0.0,0.0778,0.586,95.19,audio_features,0Z2J91b2iTGLVTZC4fKgxf,spotify:track:0Z2J91b2iTGLVTZC4fKgxf,https://api.spotify.com/v1/tracks/0Z2J91b2iTGLVTZC4fKgxf,https://api.spotify.com/v1/audio-analysis/0Z2J91b2iTGLVTZC4fKgxf,312627,4
231,Snoop Dogg,0.73,0.785,9,-7.986,0,0.243,0.105,0.0,0.0445,0.596,82.037,audio_features,7My9ca9QEIR8MvIOdIrTWA,spotify:track:7My9ca9QEIR8MvIOdIrTWA,https://api.spotify.com/v1/tracks/7My9ca9QEIR8MvIOdIrTWA,https://api.spotify.com/v1/audio-analysis/7My9ca9QEIR8MvIOdIrTWA,215120,4
232,Spin Doctors,0.543,0.912,7,-10.71,1,0.0601,0.00162,2.1e-06,0.0565,0.836,103.731,audio_features,4ePP9So5xRzspjLFVVbj90,spotify:track:4ePP9So5xRzspjLFVVbj90,https://api.spotify.com/v1/tracks/4ePP9So5xRzspjLFVVbj90,https://api.spotify.com/v1/audio-analysis/4ePP9So5xRzspjLFVVbj90,256733,4
233,Moneybrother,0.428,0.933,11,-1.961,0,0.0649,0.00272,2.09e-06,0.712,0.548,133.268,audio_features,5z9kQWLFo4McsaMDGgBDto,spotify:track:5z9kQWLFo4McsaMDGgBDto,https://api.spotify.com/v1/tracks/5z9kQWLFo4McsaMDGgBDto,https://api.spotify.com/v1/audio-analysis/5z9kQWLFo4McsaMDGgBDto,189200,4
234,John De Sohn,0.653,0.621,8,-6.045,1,0.0308,0.178,0.0,0.0952,0.584,121.98,audio_features,0343bYQtSfznf6v90jRLRK,spotify:track:0343bYQtSfznf6v90jRLRK,https://api.spotify.com/v1/tracks/0343bYQtSfznf6v90jRLRK,https://api.spotify.com/v1/audio-analysis/0343bYQtSfznf6v90jRLRK,167912,4
235,Peter Jöback,0.48,0.615,7,-7.615,1,0.0372,0.122,8.35e-06,0.141,0.169,90.12,audio_features,1KzR5AuZz9oiPOOdiYmNXs,spotify:track:1KzR5AuZz9oiPOOdiYmNXs,https://api.spotify.com/v1/tracks/1KzR5AuZz9oiPOOdiYmNXs,https://api.spotify.com/v1/audio-analysis/1KzR5AuZz9oiPOOdiYmNXs,237496,4
236,Electric Guest,0.663,0.873,0,-4.915,1,0.0328,0.0268,0.0108,0.261,0.962,162.021,audio_features,0LVaveDmmoMEKhBGhVhfoI,spotify:track:0LVaveDmmoMEKhBGhVhfoI,https://api.spotify.com/v1/tracks/0LVaveDmmoMEKhBGhVhfoI,https://api.spotify.com/v1/audio-analysis/0LVaveDmmoMEKhBGhVhfoI,175773,4
237,SeLest,0.559,0.287,11,-8.436,1,0.0361,0.93,0.0,0.112,0.466,135.798,audio_features,47GyYwSDBMydOfZWazUbZP,spotify:track:47GyYwSDBMydOfZWazUbZP,https://api.spotify.com/v1/tracks/47GyYwSDBMydOfZWazUbZP,https://api.spotify.com/v1/audio-analysis/47GyYwSDBMydOfZWazUbZP,202089,4
238,Marc E. Bassy,0.449,0.635,1,-8.301,1,0.275,0.0413,0.0,0.188,0.608,84.414,audio_features,7yCqehT9dKACTFy7YugP0J,spotify:track:7yCqehT9dKACTFy7YugP0J,https://api.spotify.com/v1/tracks/7yCqehT9dKACTFy7YugP0J,https://api.spotify.com/v1/audio-analysis/7yCqehT9dKACTFy7YugP0J,218493,4
239,Gavin DeGraw,0.423,0.862,0,-5.13,0,0.0695,0.00791,0.0,0.133,0.462,154.746,audio_features,6ich2xMH5AR39V85miIAN8,spotify:track:6ich2xMH5AR39V85miIAN8,https://api.spotify.com/v1/tracks/6ich2xMH5AR39V85miIAN8,https://api.spotify.com/v1/audio-analysis/6ich2xMH5AR39V85miIAN8,217760,4
240,Stevie Wonder,0.675,0.597,5,-11.329,1,0.0337,0.0534,0.0,0.0986,0.828,108.875,audio_features,2eF8pWbiivYsYRpbntYsnc,spotify:track:2eF8pWbiivYsYRpbntYsnc,https://api.spotify.com/v1/tracks/2eF8pWbiivYsYRpbntYsnc,https://api.spotify.com/v1/audio-analysis/2eF8pWbiivYsYRpbntYsnc,161160,4
241,Jonas Blue,0.815,0.771,8,-6.052,0,0.0392,0.104,0.0027,0.067,0.546,117.941,audio_features,17XwUcwd6SmoypiA3tIwHH,spotify:track:17XwUcwd6SmoypiA3tIwHH,https://api.spotify.com/v1/tracks/17XwUcwd6SmoypiA3tIwHH,https://api.spotify.com/v1/audio-analysis/17XwUcwd6SmoypiA3tIwHH,159850,4
242,Andrew McMahon in the Wilderness,0.381,0.844,5,-7.123,1,0.144,0.0131,0.0,0.318,0.239,194.0,audio_features,1MSM3Fo2fvnwVqMcz8Jhjq,spotify:track:1MSM3Fo2fvnwVqMcz8Jhjq,https://api.spotify.com/v1/tracks/1MSM3Fo2fvnwVqMcz8Jhjq,https://api.spotify.com/v1/audio-analysis/1MSM3Fo2fvnwVqMcz8Jhjq,223880,4
243,Thirty Seconds To Mars,0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99,audio_features,0lP4HYLmvowOKdsQ7CVkuq,spotify:track:0lP4HYLmvowOKdsQ7CVkuq,https://api.spotify.com/v1/tracks/0lP4HYLmvowOKdsQ7CVkuq,https://api.spotify.com/v1/audio-analysis/0lP4HYLmvowOKdsQ7CVkuq,231533,3
244,Melissa Horn,0.595,0.335,1,-11.715,1,0.0432,0.771,1.14e-05,0.0847,0.218,109.882,audio_features,5DkUy1ShgRHv44mXxwe6zM,spotify:track:5DkUy1ShgRHv44mXxwe6zM,https://api.spotify.com/v1/tracks/5DkUy1ShgRHv44mXxwe6zM,https://api.spotify.com/v1/audio-analysis/5DkUy1ShgRHv44mXxwe6zM,182068,4
245,Saint Motel,0.595,0.896,10,-2.951,1,0.047,0.0641,5.82e-05,0.0748,0.567,118.001,audio_features,2Iq6HhIquO7JKr0KfTNLzU,spotify:track:2Iq6HhIquO7JKr0KfTNLzU,https://api.spotify.com/v1/tracks/2Iq6HhIquO7JKr0KfTNLzU,https://api.spotify.com/v1/audio-analysis/2Iq6HhIquO7JKr0KfTNLzU,204812,4
246,Beyoncé,0.687,0.887,1,-5.04,0,0.0826,0.0575,2.21e-06,0.27,0.853,114.941,audio_features,2KukL7UlQ8TdvpaA7bY3ZJ,spotify:track:2KukL7UlQ8TdvpaA7bY3ZJ,https://api.spotify.com/v1/tracks/2KukL7UlQ8TdvpaA7bY3ZJ,https://api.spotify.com/v1/audio-analysis/2KukL7UlQ8TdvpaA7bY3ZJ,278282,4
247,Rise Against,0.554,0.932,5,-3.424,0,0.0485,0.00154,0.000142,0.425,0.478,112.49,audio_features,1vcxF91pWs9uNwDROuiCPB,spotify:track:1vcxF91pWs9uNwDROuiCPB,https://api.spotify.com/v1/tracks/1vcxF91pWs9uNwDROuiCPB,https://api.spotify.com/v1/audio-analysis/1vcxF91pWs9uNwDROuiCPB,242280,4
248,Boufa Boufa,0.463,0.802,7,-5.006,1,0.0286,0.0665,2.41e-06,0.114,0.328,104.051,audio_features,1IuEN3QP2uVWG9RlSezssQ,spotify:track:1IuEN3QP2uVWG9RlSezssQ,https://api.spotify.com/v1/tracks/1IuEN3QP2uVWG9RlSezssQ,https://api.spotify.com/v1/audio-analysis/1IuEN3QP2uVWG9RlSezssQ,226467,4
249,blink-182,0.434,0.897,0,-4.918,1,0.0488,0.0103,0.0,0.612,0.684,148.726,audio_features,2m1hi0nfMR9vdGC8UcrnwU,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,https://api.spotify.com/v1/tracks/2m1hi0nfMR9vdGC8UcrnwU,https://api.spotify.com/v1/audio-analysis/2m1hi0nfMR9vdGC8UcrnwU,167067,4
250,Lars Eriksson,0.618,0.495,4,-6.906,1,0.042,0.268,2.79e-06,0.0893,0.344,159.967,audio_features,1PyxAh2nFZwQLGqlFLIqrK,spotify:track:1PyxAh2nFZwQLGqlFLIqrK,https://api.spotify.com/v1/tracks/1PyxAh2nFZwQLGqlFLIqrK,https://api.spotify.com/v1/audio-analysis/1PyxAh2nFZwQLGqlFLIqrK,195747,4
251,Silvana Imam,0.699,0.704,7,-6.267,1,0.222,0.0423,1.71e-06,0.243,0.573,89.931,audio_features,06M8KfNJwdqxB9lLuPVt28,spotify:track:06M8KfNJwdqxB9lLuPVt28,https://api.spotify.com/v1/tracks/06M8KfNJwdqxB9lLuPVt28,https://api.spotify.com/v1/audio-analysis/06M8KfNJwdqxB9lLuPVt28,168000,4
252,Muse,0.709,0.322,9,-16.854,1,0.0846,0.992,0.864,0.145,0.605,127.356,audio_features,2MwwY6qk5M77cBzvK5r430,spotify:track:2MwwY6qk5M77cBzvK5r430,https://api.spotify.com/v1/tracks/2MwwY6qk5M77cBzvK5r430,https://api.spotify.com/v1/audio-analysis/2MwwY6qk5M77cBzvK5r430,59733,4
